factor,value,category,n,seeds,notes,train_loss_mean,train_loss_std,extraction_success_rate_mean,extraction_success_rate_std,avg_exposure_mean,avg_exposure_std,mia_auc_loss_mean,mia_auc_loss_std,mia_auc_neighbourhood_mean,mia_auc_neighbourhood_std,mia_roc_tpr_1e-3_loss_mean,mia_roc_tpr_1e-3_loss_std,mia_roc_tpr_1e-4_loss_mean,mia_roc_tpr_1e-4_loss_std,mia_roc_tpr_1e-3_neighbourhood_mean,mia_roc_tpr_1e-3_neighbourhood_std,mia_roc_tpr_1e-4_neighbourhood_mean,mia_roc_tpr_1e-4_neighbourhood_std,mia_val_tpr_1e-3_loss_mean,mia_val_tpr_1e-3_loss_std,mia_val_tpr_1e-4_loss_mean,mia_val_tpr_1e-4_loss_std,mia_val_tpr_1e-3_neighbourhood_mean,mia_val_tpr_1e-3_neighbourhood_std,mia_val_tpr_1e-4_neighbourhood_mean,mia_val_tpr_1e-4_neighbourhood_std
lr,1e-4,ablation,1,0,主消融,2.681608172228737,0.0,0.0,0.0,1.5703561113331883,0.0,0.5031620338688485,0.0,0.5185301050390498,0.0,0.0,0.0,0.0,0.0,0.0010362694300518134,0.0,0.0010362694300518134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lr,2e-4,ablation,1,0,主消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lr,5e-4,ablation,1,0,主消融,2.6062881581104587,0.0,0.0,0.0,1.7868481495029578,0.0,0.5286951043329964,0.0,0.5288118747352296,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_len,1024,ablation,1,0,补充消融,2.63492685860961,0.0,0.0,0.0,1.6600859835779282,0.0,0.5107646017314608,0.0,0.5205005376869688,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_len,256,ablation,1,0,补充消融,2.6584631091486797,0.0,0.0,0.0,1.6564538809865073,0.0,0.510888432669643,0.0,0.520793821487927,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_len,512,ablation,1,0,补充消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neigh_k_word_drop,k3_d0.05,ablation,1,0,评估消融,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109112436319398,0.0,0.530616656347422,0.0,0.0,0.0,0.0,0.0,0.0010362694300518134,0.0,0.0010362694300518134,0.0,0.0,0.0,0.0,0.0,0.0010362694300518134,0.0,0.0010362694300518134,0.0
neigh_k_word_drop,k5_d0.1,ablation,1,0,评估消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neigh_k_word_drop,k8_d0.2,ablation,1,0,评估消融,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109112436319398,0.0,0.532511595572501,0.0,0.0,0.0,0.0,0.0,0.0010362694300518134,0.0,0.0010362694300518134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_canaries,100,ablation,1,0,主消融,2.4773752464438386,0.0,0.0,0.0,1.9008463671733251,0.0,0.5099162511812821,0.0,0.5207166987106374,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_canaries,200,ablation,1,0,主消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
